marker_id,marker_sta,marker_url,marker_addr,marker_lat,marker_lng
Y02,地下鉄成増駅,http://www.tokyometro.jp/rosen/eki/chikatetsu-narimasu/index.html,東京都板橋区成増2-11-3,35.77653,139.63151
Y03,地下鉄赤塚駅,http://www.tokyometro.jp/rosen/eki/chikatetsu-akatsuka/index.html,東京都練馬区北町8-37-16,35.769939,139.644025
Y04,平和台駅,http://www.tokyometro.jp/rosen/eki/heiwadai/index.html,東京都練馬区早宮2-17-48,35.75786,139.653764
Y05,氷川台駅,http://www.tokyometro.jp/rosen/eki/hikawadai/index.html,東京都練馬区氷川台3-38-18,35.749545,139.665571
Y06,小竹向原駅,http://www.tokyometro.jp/rosen/eki/kotake-mukaihara/index.html,東京都練馬区小竹町2-16-15,35.743806,139.67858
Y07,千川駅,http://www.tokyometro.jp/rosen/eki/senkawa/index.html,東京都豊島区要町3-10-7,35.738229,139.689274
Y08,要町駅,http://www.tokyometro.jp/rosen/eki/kanamecho/index.html,東京都豊島区要町1-1-10,35.73323,139.698718
Y17,桜田門駅,http://www.tokyometro.jp/rosen/eki/sakuradamon/index.html,東京都千代田区霞が関2-1-1,35.677403,139.751493
Y20,新富町駅,http://www.tokyometro.jp/rosen/eki/shintomicho/index.html,東京都中央区築地1-1-1,35.670458,139.773715
Y21,月島駅,http://www.tokyometro.jp/rosen/eki/tsukishima/index.html,東京都中央区月島1-3-9,35.664869,139.784232
Y23,辰巳駅,http://www.tokyometro.jp/rosen/eki/tatsumi/index.html,東京都江東区辰巳1-1-44,35.645584,139.810526
C02,代々木公園駅,http://www.tokyometro.jp/rosen/eki/yoyogi-koen/index.html,東京都渋谷区富ケ谷1-3-9,35.669188,139.689097
C13,湯島駅,http://www.tokyometro.jp/rosen/eki/yushima/index.html,東京都文京区湯島3-47-10,35.708242,139.76992
C14,根津駅,http://www.tokyometro.jp/rosen/eki/nezu/index.html,東京都文京区根津1-3-5,35.7174,139.765655
C15,千駄木駅,http://www.tokyometro.jp/rosen/eki/sendagi/index.html,東京都文京区千駄木2-32-5,35.725546,139.763241
G14,末広町駅,http://www.tokyometro.jp/rosen/eki/suehirocho/index.html,東京都千代田区外神田4-7-3,35.702973,139.771717
G17,稲荷町駅,http://www.tokyometro.jp/rosen/eki/inaricho/index.html,東京都台東区東上野3-33-11,35.711295,139.782599
G18,田原町駅,http://www.tokyometro.jp/rosen/eki/tawaramachi/index.html,東京都台東区西浅草1-1-18,35.709901,139.790932
Z11,清澄白河駅,http://www.tokyometro.jp/rosen/eki/kiyosumi-shirakawa/index.html,東京都江東区白河1-6-13,35.682102,139.798855
Z12,住吉駅,http://www.tokyometro.jp/rosen/eki/sumiyoshi/index.html,東京都江東区猿江2-9-10,35.689067,139.815651
H02,恵比寿駅,http://www.tokyometro.jp/rosen/eki/ebisu/index.html,東京都渋谷区恵比寿南1-5-5,35.646689,139.710112
H03,広尾駅,http://www.tokyometro.jp/rosen/eki/hiro-o/index.html,東京都港区南麻布5-10-28,35.652277,139.722203
H10,築地駅,http://www.tokyometro.jp/rosen/eki/tsukiji/index.html,東京都中央区築地3-15-1,35.668116,139.772607
H14,小伝馬町駅,http://www.tokyometro.jp/rosen/eki/kodemmacho/index.html,東京都中央区日本橋小伝馬町11-1,35.690738,139.778436
